
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   TOTAL;5,238,80;1,269,00;146.00;48.13;5.79;15.75;87,138,19;1,216,00;162.00;149.66;8.63;17.95;
   Andalucia;713.19;1,336,00;121.00;61.91;0.77;24.12;11,989,59;1,198,00;137.00;151.45;6.72;19.92;
   Illes Balears;144.74;1,106,00;134.00;13.93;-0.18;12.25;15,221,57;1,153,00;173.00;109.12;0.17;8.59;
   Canarias;1,677,04;1,375,00;168.00;34.82;-0.19;9.04;17,452,70;1,416,00;163.00;142.84;3.59;6.82;
   Cataluña;881.90;1,083,00;155.00;61.58;10.81;17.11;16,478,61;1,110,00;188.00;198.34;16.26;21.88;
   Comunidad Valenciana;592.58;1,153,00;99.00;47.48;9.47;6.56;10,103,66;1,173,00;119.00;131.08;7.80;21.89;
   Madrid (Comunidad de);764.09;1,734,00;246.00;71.90;14.23;13.15;9,630,12;1,592,00;281.00;209.39;11.37;17.85;
   Resto CCAA;465.25;981.00;112.00;39.70;7.53;31.07;6,261,94;949.00;131.00;135.32;19.94;26.12;
2022M11;;;;;;;;;;;;;
   TOTAL;5,381,97;1,242,00;167.00;43.08;10.97;17.10;81,899,39;1,213,00;163.00;161.10;9.16;17.58;
   Andalucia;749.93;1,266,00;141.00;38.01;13.34;25.49;11,276,40;1,190,00;138.00;160.56;7.68;18.82;
   Illes Balears;188.59;1,140,00;139.00;14.99;3.19;4.92;15,076,82;1,153,00;174.00;110.81;0.14;8.24;
   Canarias;1,668,99;1,408,00;167.00;22.52;4.74;9.34;15,775,65;1,420,00;162.00;165.45;4.09;6.73;
   Cataluña;979.27;1,023,00;192.00;83.51;18.12;27.53;15,596,71;1,111,00;190.00;213.34;16.73;21.13;
   Comunidad Valenciana;603.17;1,162,00;120.00;47.06;8.86;10.98;9,511,08;1,174,00;120.00;139.54;7.56;22.82;
   Madrid (Comunidad de);821.44;1,519,00;279.00;67.76;16.54;13.10;8,866,03;1,581,00;285.00;232.29;11.66;17.39;
   Resto CCAA;370.58;988.00;143.00;43.40;29.27;18.63;5,796,70;946.00;133.00;148.99;21.90;23.92;
2022M10;;;;;;;;;;;;;
   TOTAL;8,311,20;1,158,00;168.00;48.25;6.35;19.94;76,517,42;1,211,00;163.00;177.18;9.09;17.80;
   Andalucia;1,237,63;1,181,00;152.00;43.10;11.01;26.99;10,526,47;1,185,00;138.00;178.15;7.39;18.10;
